name		fast@-40C, 1.98, -40.0	fast@0C, 1.98, .0	typical, 1.80, 25.0	slow, 1.62, 125.0
S		N		N		N		N
# RA1SHD2048X32 words=2048 bits=32 mux=8 drive=12 pipeline=No frequency=20.000 ring width=2
geomx     	585.820   	585.820   	585.820   	585.820   
geomy     	762.035   	762.035   	762.035   	762.035   
ring_size 	5.200     	5.200     	5.200     	5.200     
icc       	2.641     	2.672     	2.358     	2.102     
icc_r     	2.302     	2.325     	2.040     	1.818     
icc_w     	2.981     	3.018     	2.676     	2.386     
icc_peak  	393.435   	378.853   	246.622   	141.555   
icc_desel 	6.58E-1   	6.68E-1   	5.75E-1   	5.09E-1   
icc_standby	6.50E-3   	2.09E-2   	8.08E-3   	2.89E-2   
tcyc      	0.802     	0.874     	1.251     	2.205     
ta        	0.774     	0.836     	1.287     	2.174     
tas       	0.224     	0.247     	0.364     	0.706     
tah       	0.043     	0.048     	0.059     	0.074     
tcs       	0.271     	0.294     	0.394     	0.640     
tch       	0.000     	0.000     	0.000     	0.000     
tws       	0.161     	0.171     	0.240     	0.405     
twh       	0.000     	0.000     	0.000     	0.000     
tds       	0.130     	0.137     	0.226     	0.396     
tdh       	0.000     	0.000     	0.000     	0.000     
thz       	0.430     	0.511     	0.620     	1.035     
tlz       	0.364     	0.385     	0.527     	0.835     
tckh      	0.080     	0.087     	0.119     	0.209     
tckl      	0.112     	0.121     	0.180     	0.312     
tckr      	4.000     	4.000     	4.000     	4.000     
load_q    	0.248     	0.262     	0.354     	0.526     
icap_a    	0.055     	0.055     	0.055     	0.054     
icap_d    	0.004     	0.004     	0.004     	0.003     
icap_clk  	0.277     	0.283     	0.277     	0.269     
icap_cen  	0.015     	0.015     	0.015     	0.015     
icap_wen  	0.123     	0.123     	0.122     	0.121     
icap_oen  	0.010     	0.010     	0.010     	0.010     
ocap_q    	0.023     	0.023     	0.023     	0.023     
pwn_ck    	10.000    	10.000    	10.000    	10.000    
vn_ck     	0.844     	0.827     	0.829     	0.791     
vn_pwr    	0.198     	0.198     	0.180     	0.162     
vn_gnd    	0.198     	0.198     	0.180     	0.162     
